Logging to logs/ppo_cnn_4x4_2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 57.7     |
|    ep_rew_mean     | -0.196   |
| time/              |          |
|    fps             | 2013     |
|    iterations      | 1        |
|    time_elapsed    | 32       |
|    total_timesteps | 65536    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.5         |
|    ep_rew_mean          | -0.081       |
| time/                   |              |
|    fps                  | 1519         |
|    iterations           | 2            |
|    time_elapsed         | 86           |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0021048102 |
|    clip_fraction        | 0.00844      |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.605       |
|    explained_variance   | -1.41        |
|    learning_rate        | 0.0005       |
|    loss                 | 0.0168       |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.00122     |
|    value_loss           | 0.36         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.3        |
|    ep_rew_mean          | 0.0733      |
| time/                   |             |
|    fps                  | 1446        |
|    iterations           | 3           |
|    time_elapsed         | 135         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.005462314 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.593      |
|    explained_variance   | 0.0552      |
|    learning_rate        | 0.000499    |
|    loss                 | -0.000764   |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.0127     |
|    value_loss           | 0.0353      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65.9         |
|    ep_rew_mean          | 0.602        |
| time/                   |              |
|    fps                  | 1395         |
|    iterations           | 4            |
|    time_elapsed         | 187          |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0069000246 |
|    clip_fraction        | 0.18         |
|    clip_range           | 0.15         |
|    entropy_loss         | -0.548       |
|    explained_variance   | 0.212        |
|    learning_rate        | 0.000499     |
|    loss                 | -0.00591     |
|    n_updates            | 12           |
|    policy_gradient_loss | -0.0152      |
|    value_loss           | 0.0311       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58.2        |
|    ep_rew_mean          | 0.894       |
| time/                   |             |
|    fps                  | 1363        |
|    iterations           | 5           |
|    time_elapsed         | 240         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.008813916 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.49       |
|    explained_variance   | 0.351       |
|    learning_rate        | 0.000499    |
|    loss                 | -0.00569    |
|    n_updates            | 16          |
|    policy_gradient_loss | -0.0148     |
|    value_loss           | 0.0318      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.4        |
|    ep_rew_mean          | 1.7         |
| time/                   |             |
|    fps                  | 1354        |
|    iterations           | 6           |
|    time_elapsed         | 290         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.011466874 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.422      |
|    explained_variance   | 0.494       |
|    learning_rate        | 0.000498    |
|    loss                 | -0.000829   |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0145     |
|    value_loss           | 0.0388      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.6        |
|    ep_rew_mean          | 2.04        |
| time/                   |             |
|    fps                  | 1336        |
|    iterations           | 7           |
|    time_elapsed         | 343         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.012316051 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.15        |
|    entropy_loss         | -0.339      |
|    explained_variance   | 0.644       |
|    learning_rate        | 0.000498    |
|    loss                 | 0.00331     |
|    n_updates            | 24          |
|    policy_gradient_loss | -0.0126     |
|    value_loss           | 0.0442      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.4        |
|    ep_rew_mean          | 2.17        |
| time/                   |             |
|    fps                  | 1323        |
|    iterations           | 8           |
